tweet_text,label
b'tiap denger ini lagu selalu teringat bappenas dah mantap wacana pemindahan ibukota \xf0\x9f\x91\x8dhttps://t.co/pg2wLWBnXB',1
"b'@DonAdam68 @tijabar Jae langsung menyegerakan pemindahan ibukota, dlm tempo yg sesingkat\xc2\xb2nya'",1
"b'Menarik ini, Rencana pemindahan Ibukota Negara ini lah kok menjadi sesuatu yang prioritas??? dan apa jadinya kalau program tersebut disebut di kampanye kemarin? https://t.co/l9ntbbHKG5'",0
b'@republikaonline Rakyat yg bodoh setuju  ibukota negara di pindah kan tapi dana untuk pemindahan ibukota negara puluhan triliyunan rupiah angka yg sangat fantastik sekali  padahal dana untuk pemindahan ibu kota jokowi ngutang ke china',0
b'@DonAdam68 Itu teknik terbaik untuk percepatan pemindahan ibukota.',1
b'@geloraco Jangan salahin presiden karena pemindahan ibukota..saya : lah presidennya saja sudah biasa salah kaprah...',0
b'Presiden Jokowi Gelar Ratas Lanjutan Rencana Pemindahan Ibukota https://t.co/DCKdawPU00',1
b'Sulit Ditepis\nAda Tangan-Tangan Elit Bermain di Papua Untuk Gagalkan Pemindahan Ibukota ke Kalimantan\n\n#4niesJawaraNgibul\nhttps://t.co/0nG9qNLkmo',0
"b'\xe2\x9c\x89 UNDANGAN KHUSUS\xe2\xa0\x80\xe2\xa0\x80\n\xe2\xa0\x80\nProposal Trump terkait solusi atau tepatnya provokasi konflik di Palestina tentu bukan gurauan melihat manuver Trump dalam kasus a). Pengakuan Al-Quds sebagai Ibukota Israel, lalu b). Pemindahan Kedubes AS untuk...\nSelengkapnya...\nhttps://t.co/ONDr9MZERt https://t.co/yBlTwdypRw'",0
"b'@jansen_jsp Ributnya mengalahkan mega korupsi jiwa sraya, atau pemindahan ibukota'",0
"b'Konsep pemindahan ibukota RI sdh Final, seandainya Presiden @jokowi lengser sekalipun pengantinya harus meneruskan , karena kita bukan ingin membangun ibukota parpol tapi sebuah ibukota indonesia'",1
"b'Kemudian teringat ada yg lebih ambisius dari balapan Formula E-Prix, pemindahan ibukota.\nDari awal berita naik, masih ga yakin &amp; sepemahaman, kenapa ada pemindahan ibukota di saat kondisi Indonesia yg sekarang ini.\nI mean, seberapa penting sih ? (Selain tentang macet &amp; banjir)'",0
"b'@angelinaqueen09 @Kariin_Tifany Iya benar sprti itu, apalagi dgn rencana pemindahan ibukota, jdi pak jokowi memerlukan mereka yg sdh dianggap brhasil sblmnya'",1
b'Pede banget udah mau main pindahkan ibukota sj. Padahal mayoritas rakyat gak mau pindah. Pak @aniesbaswedan mohon jangan mendukung proyek pencitraan ini sebelum ada hasil survey resmi dari lembaga asing yg independen apakah rakyat mmg menginginkan pemindahan ibukota. cc @ILCtv1 https://t.co/kJhaFeiFmw',0
b'Presiden Jokowi Gelar Ratas Lanjutan Rencana Pemindahan Ibukota https://t.co/Jb0GSYXVon',1
